postcode,stroke_team,ssnap_name,hospital_city,use_ivt,use_mt,lsoa,lsoa_code,region,region_code,region_type,country,icb,icb_code,isdn
TA15DA,"Musgrove Park Hospital, Taunton",Musgrove Park Hospital,Taunton,1,0,Taunton Deane 011D,E01029302,NHS Somerset ICB - 11X,E38000150,SICBL,England,NHS Somerset Integrated Care Board,E54000038,"Gloucester, BSW, BNSSG and Somerset"
TQ27AA,Torbay Hospital,Torbay Hospital,Torbay,1,0,Torbay 003C,E01015251,NHS Devon ICB - 15N,E38000230,SICBL,England,NHS Devon Integrated Care Board,E54000037,"Devon, Cornwall and Isles of Scilly"
BS28HW,Bristol Royal Infirmary,University Hospitals Bristol Inpatient Team,BRI,0,0,Bristol 032C,E01014542,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",E38000222,SICBL,England,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,"Gloucester, BSW, BNSSG and Somerset"
BS234TQ,"Weston General Hospital, Weston-super-Mare",Weston General Hospital,Weston-Super-Mare,1,0,North Somerset 025A,E01014803,"NHS Bristol, North Somerset and South Gloucestershire ICB - 15C",E38000222,SICBL,England,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",E54000039,"Gloucester, BSW, BNSSG and Somerset"
BA214AT,Yeovil District Hospital,Yeovil District Hospital,Yeovil,1,0,South Somerset 014A,E01029231,NHS Somerset ICB - 11X,E38000150,SICBL,England,NHS Somerset Integrated Care Board,E54000038,"Gloucester, BSW, BNSSG and Somerset"
HP112TT,"Wycombe General Hospital, High Wycombe",Wycombe General Hospital,High Wycombe,1,0,Wycombe 015B,E01017837,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y",E38000223,SICBL,England,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Thames Valley
SL24HL,"Wexham Park Hospital, Slough",Wexham Park Hospital,Slough,0,0,Slough 005D,E01016519,NHS Frimley ICB - D4U1Y,E38000252,SICBL,England,NHS Frimley Integrated Care Board,E54000034,Frimley ICS
MK65LD,Milton Keynes General Hospital,Milton Keynes General Hospital,Milton Keynes,1,0,Milton Keynes 018C,E01016845,"NHS Bedfordshire, Luton and Milton Keynes ICB - M1J4Y",E38000249,SICBL,England,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",E54000024,East of England (South)
OX169AL,"Horton General Hospital, Banbury",None (for 72h care),Banbury,0,0,Cherwell 007B,E01028427,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",E38000136,SICBL,England,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Thames Valley
OX39DU,"John Radcliffe Hospital, Oxford",John Radcliffe Hospital,Oxford,1,1,Oxford 006A,E01028534,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q",E38000136,SICBL,England,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Thames Valley
RG15AN,"Royal Berkshire Hospital, Reading",Royal Berkshire Hospital,Reading,1,0,Reading 014F,E01016414,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A",E38000221,SICBL,England,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",E54000044,Thames Valley
DT12JY,"Dorset County Hospital, Dorchester",Dorset County Hospital,Dorchester,1,0,West Dorset 009G,E01032643,NHS Dorset ICB - 11J,E38000045,SICBL,England,NHS Dorset Integrated Care Board,E54000041,Wessex
SO225DG,"Royal Hampshire County Hospital, Winchester",Royal Hampshire County Hospital,Winchester,1,0,Winchester 007C,E01023263,NHS Hampshire and Isle of Wight ICB - D9Y0V,E38000253,SICBL,England,NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Wessex
PO305TG,"St Mary's Hospital, Newport",St Mary's Hospital Newport,Newport,1,0,Isle of Wight 008E,E01017334,NHS Hampshire and Isle of Wight ICB - D9Y0V,E38000253,SICBL,England,NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Wessex
BH152JB,Poole Hospital,Poole Hospital,Poole,0,0,Poole 015D,E01015468,NHS Dorset ICB - 11J,E38000045,SICBL,England,NHS Dorset Integrated Care Board,E54000041,Wessex
PO63LY,"Queen Alexandra Hospital, Portsmouth",Queen Alexandra Hospital Portsmouth,Portsmouth,1,0,Portsmouth 002A,E01017051,NHS Hampshire and Isle of Wight ICB - 10R,E38000137,SICBL,England,NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Wessex
BH77DW,Royal Bournemouth Hospital,University Hospitals Dorset Stroke Service,Bournemouth,1,0,Bournemouth 011D,E01015319,NHS Dorset ICB - 11J,E38000045,SICBL,England,NHS Dorset Integrated Care Board,E54000041,Wessex
SO166YD,Southampton General Hospital,Southampton General Hospital,Southampton,1,1,Southampton 010C,E01017251,NHS Hampshire and Isle of Wight ICB - D9Y0V,E38000253,SICBL,England,NHS Hampshire and Isle of Wight Integrated Care Board,E54000042,Wessex
NP448YN,Grange University Hospital (Newport),Grange University Hospital,Newport,1,0,Torfaen 013C,W01001508,Aneurin Bevan University Health Board,W11000028,LHB,Wales,,,
LL185UJ,Glan Clwyd District General Hospital (Rhyl),Glan Clwyd District General Hospital,Rhyl,1,0,Denbighshire 009A,W01000191,Betsi Cadwaladr University Health Board,W11000023,LHB,Wales,,,
LL137TD,Maelor Hospital (Wrexham),Maelor Hospital,Wrexham,1,0,Wrexham 011A,W01000349,Betsi Cadwaladr University Health Board,W11000023,LHB,Wales,,,
LL572PW,Ysbyty Gwynedd (Bangor),Ysbyty Gwynedd,Bangor,1,0,Gwynedd 002E,W01000102,Betsi Cadwaladr University Health Board,W11000023,LHB,Wales,,,
CF144XW,University Hospital of Wales (Cardiff),University Hospital of Wales,Cardiff,1,1,Cardiff 018B,W01001770,Cardiff and Vale University Health Board,W11000029,LHB,Wales,,,
CF479DT,Prince Charles Hospital (Merthyr Tydfil),Prince Charles Hospital,Merthyr Tydfil,1,0,Merthyr Tydfil 008A,W01001299,Cwm Taf Morgannwg University Health Board,W11000030,LHB,Wales,,,
CF311RQ,Princess Of Wales Hospital (Bridgend),Princess Of Wales Hospital,Bridgend,1,0,Bridgend 011C,W01001038,Cwm Taf Morgannwg University Health Board,W11000030,LHB,Wales,,,
SY231ER,Bronglais Hospital (Aberystwyth),Bronglais Hospital,Aberystwyth,1,0,Ceredigion 002A,W01000512,Hywel Dda University Health Board,W11000025,LHB,Wales,,,
SA148QF,Prince Philip Hospital (Llanelli),Prince Philip Hospital,Llanelli,1,0,Carmarthenshire 020B,W01000652,Hywel Dda University Health Board,W11000025,LHB,Wales,,,
SA312AF,West Wales General (Carmarthen),West Wales General,Carmarthen,1,0,Carmarthenshire 007D,W01000640,Hywel Dda University Health Board,W11000025,LHB,Wales,,,
SA612PZ,Withybush General Hospital (Haverfordwest),Withybush General Hospital,Haverfordwest,1,0,Pembrokeshire 005D,W01000572,Hywel Dda University Health Board,W11000025,LHB,Wales,,,
SA66NL,Morriston Hospital (Swansea),Morriston Hospital,Swansea,1,0,Swansea 003F,W01000816,Swansea Bay University Health Board,W11000031,LHB,Wales,,,
NP202UB,Royal Gwent Hospital (Newport),Royal Gwent Hospital,Newport,0,0,Newport 014C,W01001686,Aneurin Bevan University Health Board,W11000028,LHB,Wales,,,
